Title,Framework,Hook Score,Why
"Top 7 Beginner Mistakes in Creature Design","Top 7 Beginner Mistakes in (Activity)","+701","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Beginners – Calling out beginners works so well because they’re the biggest and most eager to learn group of any audience. Negativity – Nobody wants to make a mistake, so mistakes make for great video topics."
"Give me 15 Minutes and I’ll Make you Dangerously Confident","Give me 15 Minutes and I’ll Make you (Desirable attribute)","+1376","Desire – Most people would love to be dangerously confident Time Frame – The time frame of 15 minutes does 2 things here: It makes this video more tangible and interesting.



It increases the desire because 15 minutes isn’t that long to become dangerously confident. Drama – “Dangerously Confident” sounds a lot cooler and adds more drama and spice than just “Confident”."
"How to run so fast it feels unnatural","How to (Do an activity so well) it feels unnatural","+1466","Desire – This creator’s audience would love to run faster. Another element at work here is, “show don’t tell.” If this title were “how to run really fast,” that probably wouldn’t have been as effective as running “so fast it feels unnatural.”"
"How to DESTROY your exam like it owes you money (by a straight A engineering student)","How to DESTROY your [Entity] like it owes you money (by a [Authority figure])","+1764","Desire – This creator’s audience would love to destroy their exam. Authority – This creator builds trust by dropping that he’s a straight-A engineering student at the end. Drama – Destroying your exam like it owes you money is a way more fun and dramatic way to say “get an A on your exam.”"
"Why Salads Always Taste Better At Restaurants | Techniquely with Lan Lam","Why (Entities) Always (Action) Better At (Place of authority)","+897","Authority – Restaurants are an authority when it comes to good salads. Curiosity – This answers a common question people have asked themselves."
"DON’T DONATE your clothes (do this instead)","DON’T [Common, beneficial action] (do this instead)","+1003","Negativity – Warnings like this do a great job of grabbing attention. Curiosity – This builds curiosity in two ways: It’s counterintuitive. Isn’t donating your clothes a good thing?



“do this instead” opens a loop and makes you wonder what the alternative is."
"3 simple tips to unlock ChatGPT GENIUS mode…","3 simple tips to unlock (tool) GENIUS mode…","+1246","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – This leverages desire 3 ways: This creator’s audience would love to get better results with ChatGPT.



Everybody loves “simple” tips.



And “Genius mode” is just such a cool name that increases the value of the video."
"9 Celebrities Who Risked It All to Follow Jesus","9 Celebrities Who Risked It All to (Action or goal)","+1570","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Controversy – “Risking it all” adds conflict and controversy, raising the stakes of this video to make it more interesting."
"Make This for Your Next Wine Night to Impress Everyone | America’s Test Kitchen","","-70","I love that this title is about status — impressing everyone. But why did it do so poorly compared to other videos on the channel? Two reasons: 1) When you first glanced at the thumbnail, did you immediately know what it was? Maybe I’m just a simple man with simple tastes, but it took me a second to realize what I was looking at. It might’ve done better if it were a slightly clearer image of clams (they are clams, right?). Here’s a quote to remember when making your titles and thumbnails: “If you confuse, you lose.” 2) I also love that this title is about a specific moment: making food for wine night. But how many people in this audience are making food for wine night? It’s possible it’s not that popular of a moment, or the audience isn’t struggling to make food for that moment. If they wanted to get away from the wine night angle, they could try a title that just hypes up the clams, like, “These 10-Minute Steamed Clams Will Change Your Life”. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"How Japan escaped Obesity while America got Fat","How (Entity) escaped (Problem) while (Entity) (Suffered from problem)","+724","Negativity – This is all about a well-known problem, which grabs attention. Desire – This offers a little bit of hope. If Japan escaped this problem, maybe there’s a solution. Curiosity – This opens a loop and makes you wonder how Japan escaped this problem (and what’s wrong with Americans that made them get fat)."
"11 Hidden Flight Tricks Airlines are Keeping Quiet About On Purpose!","11 Hidden (Niche) Tricks (Authorities) are Keeping Quiet About On Purpose!","+1096","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – “Hidden” and “Keeping Quiet About On Purpose” both make you feel like you’re getting in on a secret. Authority – The fact that “Airlines” are the ones keeping these tricks quiet makes them feel more credible. Desire – This creator’s audience is into flight tricks. And I feel like “On Purpose” makes these tricks seem even more valuable."
"How To Make Drawing 5x Times Easier","How To Make (Activity) 5x Times Easier","+2388","Desire – This creator’s audience would love to make drawing easier. “5x” makes this video feel more tangible and interesting than just “How To Make Drawing Easier”."
"I Went To All 30 MLB Ballparks (Here Are My Rankings)","I Went To All [Entities] (Here Are My Rankings)","+5741","Interest – This creator’s audience is interested in how the MLB ballparks compare. Credibility – Since he’s gone to all 30, his opinion is more trustworthy. Complete – Words like “all”, “every”, and “any” make videos feel more complete and interesting."
"11 Airport Secrets They DON’T Want Us to Know in 2025!","","-98","This video was published in May of 2025, so “in 2025” just isn’t that powerful anymore because it’s closer to the middle of the year. If this were published in December, January, February, or March, it might’ve done better. Plus, the thumbnail is too vague. The curiosity sweet spot is right in the middle of “I have no idea what this is” and “I know exactly what this is.” The thumbnail points to something that’s way too far on the “I have no idea what this is” side, so it doesn’t build enough curiosity. If you want to avoid a flop like this, use a better angle than “in 2025” if it’s in the middle of the year, and make the imagery in your thumbnails more specific. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"How to STOP a DOG ATTACK in 3 Seconds – GUARANTEED!","How to STOP a (Problem) in (Short time frame) – GUARANTEED!","+999","Negativity – This uses fear to grab your attention. Time Frame – The time frame of “in 3 Seconds” makes this feel more tangible and increases the desire to watch this video since it’s so short."
"Avoid These 3 Cabinets At ALL Costs","Avoid These 3 (Entities) At ALL Costs","+1414","Negativity – This warning does a great job of grabbing attention. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – This makes you wonder what these 3 cabinets are."
"The Quick Guide to Baseball Pitch Grips","The Quick Guide to (Entities)","+1448","Desire – This creator’s audience is into baseball pitch grips. Speed – People love speed and “Quick Guide” promises that. The time frame of “in 2 minutes” in the thumbnail also adds to the speed and desire."
"7 Signs You Are WAY Above Average (Shocking Money Stats!)","7 Signs You Are WAY Above Average (Shocking [Niche] Stats!)","+1996","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Status – Everybody wants to know how they compare against other people."
"How to Grade Your Dog’s Behavior: From F to A","","-87","People love benchmarks and seeing how they compare, so why did this flop? My guess is that people don’t want to grade their dog’s behavior, they want to skip that step and just have a better-behaved dog. The thumbnail hints at that, but the title doesn’t. It might’ve done better if it were, “How to Turn Your Dog’s Behavior From F to A”. Or, to be even more direct, we could try, “How to Turn Your Crazy Dog Into a Calm, Obedient Dog”. The lesson: write your title about the end goal the audience will get, not about the difficult journey they have to go on. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"I Renovated This $1 House (Start to Finish)","I [Activity] This $1 [Entity] (Start to Finish)","+589","Desire – This leverages desire two ways: This creator’s audience loves renovations.



Since the house was only $1, some people feel like they could do this, too. Curiosity – $1 house builds so much curiosity because it makes you ask all sorts of questions, like: How in the world did she get a $1 house?



How bad of shape is a $1 house?



What does it look like now? A $1 house is kind of an oxymoron because it just doesn’t seem possible."
"This #1 Golf coach PROVES You’re HITTING driver all wrong!!","This (Authority Figure) PROVES You’re (Activity) all wrong!!","+635","Authority – #1 Golf coach brings attention, trust and credibility to this video. Negativity – This is all about a pain point: hitting your driver all wrong. Credibility – This might be a little weak, but “PROVES” sounds more credible and believable than just “explains why” or something. Curiosity – This opens a loop and makes you want to know how this coach proves you’re hitting your driver all wrong."
"Ex-CIA Officer Reveals 5 Signs Your Phone’s Been Hacked","(Authority Figure) Reveals 5 Signs (Problem has happened)","+895","Authority – “Ex-CIA Officer” brings authority and trust to this video. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – This leverages the fear of your phone getting hacked to grab your attention."
"3 Sound Design Secrets That Feel Like CHEATING","3 (Activity or Niche) Secrets That Feel Like CHEATING","+1440","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants to improve their sound design. Curiosity – “Secrets” is a great, simple way to build curiosity. Negativity – “CHEATING” brings some controversy here that grabs the audience’s attention."
"Is a Backup Gun Necessary for Self-Defense?","","-93","Here’s a strategy that I’ve heard a lot of people recommend: Take questions your audience has asked and just make videos answering them. Sometimes that’s a good strategy, but sometimes it leads to very specific videos that don’t resonate with a large part of your audience. That’s what this video feels like to me. But even with this very specific idea, I think the title could still be better. Titles that are bold opinions often do better on YouTube than questions like this. This video might have done better if the title was more opinionated, like: “Here’s Why You Don’t Need A Backup Gun For Self-Defense” Or it could’ve taken more of a personal opinion and story angle: “Here’s Why I Never Carry A Backup Gun Anymore” Or, if the topic of backup guns just isn’t cutting it for the audience, we could make it more broad. Something like, “This Popular Self-Defense Hack Is A Waste Of Time & Money”. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"30 Habits That (Quietly) Changed My Life Forever","30 Habits That (Quietly) [Achieved Goal]","+1092","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience would love to change their life. Curiosity – “(Quietly)” kinda makes this feel like you’re getting in on a secret."
"Nintendo is ALREADY BANNING Switch 2","(Entity) is ALREADY (Negative Action) (Entity)","+1734","Negativity – People love drama like this. Curiosity – The word “Already” makes this feel like the ban at this time came as a surprise and makes you wonder why they’re banning it so soon. News – People love news like this."
"Do Snap Swivels REALLY Hurt Lure Action? (Side-by-Side Look Underwater)","Do (Entities) REALLY Hurt (Desired outcome)? ([Proof of evidence])","+2138","Curiosity – This builds curiosity by asking a question, and the “REALLY” enhances that curiosity. Negativity – This is about avoiding a problem (hurting your lure action). Credibility – By promising a side-by-side underwater look, this video feels more credible and believable."
"Every Font is Free","Every (Entity) is Free","+3755","Desire – This creator’s audience would love for every front to be free. Curiosity – This is counterintuitive because many fonts are not free. This combo of desire + curiosity makes this video feel too good to be true, but there’s a sliver of hope, so you’ve gotta watch it if you’re a font guy or gal."
"The 1 Bass Spawning Behavior I DIDN’T Expect (Dock Cam Footage)","","-71","This creator’s audience has one goal: catch more bass. My guess is that although bass spawning behavior can be related to catching bass, it’s a few steps away. It takes a bit of mental work for the audience to realize that this video can help them with their main goal. And since most people are mindlessly scrolling on YouTube, any amount of mental work is often too much work, so they scroll on by and choose another video. A super simple change might be just: “The 1 Bass Behavior I DIDN’T Expect (Dock Cam Footage)” (just remove the word “spawning.”) You could also try a more dramatic title with a broader angle: “Underwater Video Changes Everything I Thought I Knew About Bass” TLDR: Know why people watch your videos and have your titles reflect that, and make your titles super simple to read and understand. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"Don’t start practicing art before you’ve done THIS","Don’t start (Activity) before you’ve done THIS","+1618","Negativity – Warning someone to not do something does a great job at grabbing their attention. Curiosity – This opens a loop and makes you want to know what “THIS” is. Urgency – This makes you feel like you need to watch this now."
"The One Choice That Will Determine Your Next 5 Years","The One (Action) That Will Determine (Future)","+4094","Curiosity – This builds curiosity two ways: It opens a loop and makes you wonder what the choice is.



Since it’s about just one choice, this constraint raises the stakes of that one choice and makes it more interesting. Time Frame – The time frame of “Your Next 5 Years” also raises the stakes of this one choice."
"The SECRET Powder That Makes Plants Grow Faster & Repels Pests!","The SECRET (Entity) That (Achieves goal) & (Removes problem)!","+4451","Curiosity – Using the word “Secret” is a simple way to build curiosity and make the audience feel like they’re getting in on a secret. Desire – This audience would love for their plants to grow faster. Negativity – They would also love to repel pests."
"Getting ADDICTED to STUDYING is Easy, Actually","Getting ADDICTED to (Beneficial, but hard activity) is Easy, Actually","+17518","Desire – This creator’s audience wants to study more. The confident tone of this title makes you feel like this video can help you. Curiosity – Many people struggle with studying, so saying it’s “Easy, Actually,” is counterintuitive. Controversy – Saying getting “ADDICTED” to studying is more bold, polarizing, and controversial than just, “studying more,” so it grabs more attention. Contrast – The contrast between “ADDICTED” (negative connotation) and “STUDYING” (positive connotation) makes this title more interesting."
"The Battle Between Elon, Trump & The Left – Naval Ravikant","","-82","People love drama, so the idea of this sounds great, but I think part of the reason it flopped because it’s too complicated. Specifically, I think there are too many nouns. Elon, Trump, The Left, Naval Ravikant — these four nouns make this title hard to digest. One thing they could do is take a stand and write the title about just one of the sides: “Why Trump Is Dominating The Left – Naval Ravikant” (I’m not saying that’s true or what this video is about — just using this as an example.) You could also argue that since this video has so few views compared to the rest of the channel, people aren’t interested in this battle. Part of this video is about power, and since this channel is about improving yourself, that could be an interesting focus for the title. The title could be something like, “Why Leaders Today Have More Power Than Any Other Man In History.” TLDR: Take a bold stance, or change the subject of the title if your video is struggling. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"WTF Happened In 1971?","WTF Happened In (Specific time)?","+1859","Curiosity – This builds curiosity by asking a big, bold question. The thumbnail complements this perfectly by showing that something big happened in 1971."
"You Don’t Want Love—You Want to Be Picked So You Feel Worthy","You Don’t Want (Desirable entity)—You Want (True desire)","+1945","Curiosity – “You Don’t Want Love” is counterintuitive to people who assume they want love. Negativity – Telling people what they don’t want does a great job of grabbing attention. Desire – This resonates with the audience and reveals to them what they truly desire. Note: This format is only effective if you know your audience’s hopes, desires, and fears. The best creators know their audiences better than their audience knows themselves."
"I Left The U.S. For India And Built A $23M Burrito Business","I Left (Advantageous place) For (Seemingly less advantageous place) And (Achieved big goal)","+2444","Curiosity – This builds curiosity three ways: It’s counterintuitive because you think he’d have a better chance at building a $23M business in the U.S. than in India.



It’s counterintuitive that a burrito business can be so big.



And maybe I’m just an ignorant Florida man, but I don’t associate burritos with India, so that’s also counterintuitive. Desire – This creator’s audience would love to build a $23M business (bonus points if it involves burritos)."
"50 Recognizable songs you don’t know the name of","50 Recognizable (Entities) (Counterintuitive statement)","+3562","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Curiosity – The contrast between “recognizable songs” and “you don’t know the name of” builds curiosity."
"What It Really Takes To Transform Vehicles Into Homes","","-99","One of the golden rules of marketing is to talk about benefits, not features. This title feels like it’s doing the opposite — talking about features, not benefits. Talking about “what it really takes” isn’t as exciting as what you actually get: a sweet home made out of a vehicle. If it were me, that’s what I’d focus my title on. Something like, “Turning A Van Into Your Home Will Change Your Life Forever”. This is focused more on what you get (change your life forever) than what it takes. Here’s the lesson: think about the outcome your audience will get from your video, and make the title about that. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"7 Habits of Top 1% Women","7 Habits of Top 1% (Specific audience)","+557","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Authority – The top 1% have authority and credibility when it comes to successful habits. Desire – This creator’s audience wants to be a top 1% woman."
"How Hackers Steal Passwords: 5 Attack Methods Explained","How (Bad guys) (Negative action): 5 (Negative action) Methods Explained","+2196","Negativity – This is all about controversy and the fear of hackers, getting your password stolen, and attack methods. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Authority – This isn’t just about how your password gets stolen, it’s about how Hackers do it, which brings some credibility and authority."
"ACCOUNTANT EXPLAINS: The 6 Levels of Wealth In America","(Authority Figure) EXPLAINS: The 6 Levels of (Entity)","+2564","Authority Figure – “ACCOUNTANT EXPLAINS” brings trust and credibility to this video. Curiosity – Things like levels and rankings are interesting and build curiosity. Status – This caters to people’s self-interest because it’s all about where you rank compared to others."
"How To RAISE A CONFIDENT CHILD! Without Forcing THEM Out Of Their SHELL","How To (Achieve goal)! Without (Unwanted action)","+11492","Desire – This creator’s audience would love to raise a confident child. Refute Objection – Many people might think they have to force their child out of their shell in order to get them to become confident, but this title refutes that objection."
"What You NEED To Know About FORGIVENESS In Your 20s","","-90","I like this title, but if I had to guess, the audience just isn’t into forgiveness. But here’s the thing: sometimes your audience doesn’t care about your video topic, even though it might be exactly what they need to hear. In this case, you can try to write the title about the outcome or pain, rather than the actual video subject. Here are some examples: “If your damaged soul is holding you back, you need to watch this” “Once I learned this, I stopped beating myself up” “The Small Mindset Shift That Changed My Life Forever” Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"Have Humanoid Robots Gone Too Far?","Have (Polarizing, progressive entity) Gone Too Far?","+446","Negativity – People love the controversy of things going too far. Curiosity – This builds curiosity by asking a question. Timeliness – Humanoid robots are trending more and more as technology improves."
"This Cut Of Beef Is Better And Cheaper Than Prime Rib!","This (Entity) Is (More desirable) Than (Best current option)!","+946","Desire – This creator’s audience loves prime rib and something better and cheaper than prime rib sounds awesome. Curiosity – This builds curiosity because it doesn’t tell you what the cut of beef is, so you have to click to find out."
"You Were the Smart Kid. So Why Do You Feel So Lost Now?","You Were the (Accomplished past state). So Why Do You Feel So (Negative emotion) Now?","+841","Negativity – This calls out a pain point that grabs people’s attention and interest. Specific Audience – This calls out a very specific audience with “You Were the Smart Kid,” to grab the right audience’s attention and make them feel like this video was made for them. Curiosity – This builds curiosity by asking a question."
"Here’s How To Make Your Assets Invisible From Creditors","Here’s How To Make Your (Possession) Invisible From (People who want to take advantage of possession)","+1863","Desire – This creator’s audience wants to make their assets invisible from creditors. Negativity – This video is about avoiding a problem. I also think a big part of this video’s success is that the word “invisible” is such a great word. It feels secretive, powerful and cool."
"Make This Iconic Sandwich At Home!","","-75","If you want to write great titles, you need to know your audience. You need to know their fears, desires, obstacles, and problems. And keeping that in mind, I think one of the reasons this video flopped is because making this iconic sandwich at home just isn’t a big problem for them. It might’ve been better to make the focus of the title about a different problem, like price or time: “Make This Iconic Sandwich For Under $5!” “Make This Iconic Sandwich In 5 Minutes!” There’s also the possibility that this creator’s audience is into big hunks of meats, not sandwiches, so maybe this video was doomed from the start. But that’s why we do thorough research, right? Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"San Antonio’s BEST & WORST Suburbs Ranked","(Entity’s) BEST & WORST (Entities) Ranked","+520","Desire – This creator’s audience wants to hear about the best San Antonio suburbs. Negativity – The “worst” San Antonio suburbs grabs attention because this audience definitely does not want to move there. Curiosity – Everybody likes to see how things rank and compare against each other."
"STOP buying protein bars. Make these instead.","STOP (Action) (Entity). (Action) these instead.","+625","Negativity – The big “STOP” in all caps does a great job of grabbing your attention. Curiosity – This opens a loop and makes you wonder what “these” are. The first part is also a little counterintuitive — why would you stop buying protein bars?"
"How much progress have we made on climate change?","How much progress have we made on (Big problem)?","+850","Curiosity – This builds curiosity by asking a question many people are probably wondering in the back of their minds. Negativity – Climate change is a global problem that many people are aware of and interested in."
"If you are craving love, God wants you to hear this.","If you are craving (Entity), (Authority figure) wants you to hear this.","+1272","Negativity – This calls out people experiencing a specific pain. Curiosity – This opens a loop and makes you wonder what it is God wants you to hear. Authority – I’m not sure if this is just relevant to this niche and this video, but if God wants you to hear something, that’s a pretty powerful sign you need to hear it."
"50 AND FABULOUS: COSY COMFY STYLE FOR WOMEN","","-64","The best titles are clear and simple. This title doesn’t really fit that. “50 AND FABULOUS” is too clever and vague, and dilutes the main idea of the title: “COSY COMFY STYLE FOR WOMEN.” Here are some other options we could try: We could try calling out a pain point and dropping in the current year: “How To Dress Stylish In 2025 (Without Being Uncomfortable)” We could add a little curiosity by making it about a secret: “The Secret To Dressing Stylish AND Comfy” Or we could use a similar format to the outlier above this section: “If you want to dress stylish and cosy, you need to watch this.” Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"We Found a Snake BIGGER Than Titanoboa!","We Found a (Entity) (Extreme comparative adjective) Than (Entity previously considered most extreme)!","+781","Epic – People love epic things, and finding a snake bigger than what was previously thought to be the biggest definitely qualifies as extreme epic. News – People love news and this feels like news. Curiosity – This makes you wonder what the snake is and how big it is. Plus, it’s a little counterintuitive because this audience knows that there are no snakes bigger than Titanoboa."
"Don’t Eat Canned Sardines Until You Watch This","Don’t (Activity) Until You Watch This","+2426","Negativity – Warnings like this do a great job of grabbing the audience’s attention. Curiosity – This is a major cliffhanger and makes you wonder what’s wrong with canned sardines. Urgency – If you eat sardines, there’s some urgency here to watch this before you eat your next can."
"The Reading Method That Changed My Language Learning","The (Action) Method That Changed My (Desired skill)","+2640","Desire – This creator’s audience would love to change their language learning. Curiosity – This builds curiosity two ways: “Changed my Language Learning” is open-ended and makes you wonder what changed.



It makes you wonder what this method is."
"Leonardo da Vinci: The Renaissance Genius Who Changed the World","(Person): The (Specific description) Who (Epic action)","+5226","Epic – Phrases like “Renaissance Genius” and “Changed the World” make this video feel exciting and epic."
"My MASSIVE Reptile Enclosure has 23 Animals Preparing for a STORM!","","-74","The #1 rule of writing YouTube titles: be clear, not clever. This title violates that rule. This video is about “the coolest jungle enclosure you’ve ever seen” (according to the intro). Making the title about animals preparing for a storm is just trying to be too clever. If it were me, I’d make the title about how this is the coolest reptile enclosure you’ve ever seen. And I’d probably use the word “reptile” and not “jungle,” because reptiles are the reason people watch this channel. Now, you could ask if making a video about jungle enclosures was even a good idea in the first place, considering people watch this channel to learn about reptiles, but that’s a conversation for another email. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"Beware of The HUGE Medicare Penalty for Selling Your Home After 63","Beware of The HUGE (Problem) for (Activity)","+854","Negativity – Warnings like this do a great job of grabbing the audience’s attention. Specific Audience – Calling out a large, but specific audience, like people selling their home after 63, can work well because it makes them feel like you made the video specifically for them."
"The ONLY way to become fluent in ENGLISH","The ONLY way to (Achieve Goal)","+1331","Desire – This creator’s audience wants to be fluent in English. Curiosity – This opens a loop and makes you want to know which way he’s talking about. Constraint – The constraint of the “ONLY way” makes this video so much more challenging and interesting."
"Something Strange is Happening in China","Something Strange is Happening in (Entity)","+1339","Curiosity – This simple title builds curiosity two ways: Talking about “strange” things builds curiosity.



It opens a loop and makes you wonder what exactly is happening."
"I’m 52 But Feel 32—This Is the Lunch I Eat Every Day","I’m (Actual state) But Feel (Better state)—This Is the (Entity) I (Activity) Every Day","+1616","Desire – Most 52-year-olds would love to feel 32. Plus, they’d love to know which lunch can help them achieve that. Credibility – This one might be a bit of a stretch because it’s not exactly verifiable, but by claiming he feels 32, it makes him sound more credible, so you’re more interested in his opinion and habits. Contrast – The contrast between “I’m 52” and “Feel 32” builds interest and curiosity here. Daily – Talking about things you do every day makes the video feel more tangible and interesting. Specific – This isn’t about vague health tips, this is about something specific: the lunch he eats every day."
"Is Waymo About to Dethrone Uber?","","-83","This is a good title. In fact, it’s so good that a video by this channel using the same exact format got 405K views: “Is Chipotle About to Dethrone McDonald’s?” So why did this one flop, but the Chipotle video went viral? Here’s my best guess: most of us love Chipotle. We read that title and think, “Yes! Go Chipotle!” and then watch the video to see how they’re going to dethrone McDonald’s. But do people feel the same way about Waymo? Would you describe yourself as being on Team Waymo? Maybe I’m just a simple Florida man, but I don’t think so. And since nobody has strong emotions about Waymo, this title just doesn’t excite you as much as the Chipotle video. So, how else could we title this video? Well, we might not need to use Waymo in the title. We might be better off using an easily understood label instead and adding some more drama: “This Small Startup Is About To Ruin Uber” (Yes, I know Waymo isn’t small, but compared to Uber it is. We could also leave out the “small” if we wanted.) Or, we could focus the title wholly on Uber: “Uber Is About To Collapse” The lesson: modeling proven formats is the best way to come up with great video ideas, but ideally, you know exactly why the original video did so well, and your idea matches those conditions. Oh, and have a few backup titles just in case. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"The 20 BIGGEST Cheating Scandals in Golf History","The 20 BIGGEST Cheating Scandals in (Niche) History","+446","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – People can’t get enough of controversial things like cheating scandals. Extreme & Epic – “BIGGEST” and “in Golf History” make this video feel extreme, epic, and interesting."
"How we KILLED the Greatest Kind of Vehicle","How we KILLED the Greatest (Entity)","+449","Negativity – Killing something great brings some interesting conflict here. Curiosity – This builds curiosity two ways: It’s counterintuitive – why would you kill something great?



It opens a loop and makes you want to know why and how we did this."
"10 Things to NEVER HAVE In Your Home When Selling","10 Things to NEVER (Activity) When (Activity)","+1661","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Negativity – Warnings like this do a great job at getting people’s attention and getting them to click."
"HOW Youtube Changed My Life (in 4 months) | My Journey to Full-Time Creator","HOW [Entity] Changed My Life (in [Short time frame]) | My Journey to [Desired end goal]","+2448","Desire – This creator’s audience would love for YouTube to change their lives and to be a full-time creator. Time Frame – The time frame of 4 months adds to the desire (it’s a relatively short time to have your life changed) and it makes this video feel more tangible, real and interesting. Curiosity – This opens a loop and builds two questions in the audience’s mind: How did his life change?



How did YouTube change his life?"
"Back on Icon (Episode 558)","","-99","This is a particular pet peeve of mine: posting podcast episodes on your non-podcast channel. YouTube wants you to binge watch channels, but when you post different formats (i.e. vlogs, podcasts, video essays, talking head listicles, etc), it makes that a lot harder for the viewers. The best channels, like MrBeast, Diary of a CEO, all post one format. I’m not saying you can’t publish multiple formats on your channel, I’m just saying success on YouTube will typically come a lot easier if you don’t. And not to mention, this title could be a lot better. Instead of focusing the title on the creators, I’d focus it on the most interesting part of the video. Alright, that wraps up this week’s Creator Hooks! Hope you enjoyed this week’s edition and if you know a fellow creator who needs help writing better titles, please send them to creatorhooks.com. – Jake (@jthomas__ on Twitter) P.S. Read previous editions here. P.P.S. If you want to write better titles and grow your channel, check out Creator Hooks Pro. Read last week’s edition »"
"The Most Hated Eating Channel on TikTok","The Most Hated (Entity)","+533","Negativity – This title is full of drama and controversy, which people love. Curiosity – Instead of saying the channel name, this title gives it an extreme, unique label: “The Most Hated Eating Channel on TikTok”. This makes this title easy to understand and also makes you wonder what the channel is."
